# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01948e-05 to 7.94874 h/Mpc,
# number of wavenumbers equal to 609
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       1.331689497703e-02       1.444501506867e+07       1.440276581679e+07      -2.387277089183e+03      -2.423742566360e+03       8.405068406916e+06       4.214352928824e+06       1.440581785119e+07 
       1.344457526381e-02       1.439265399173e+07       1.435021703309e+07      -2.333709228391e+03      -2.369355239195e+03       8.332503471934e+06       4.199002148973e+06       1.435334473772e+07 
       1.357229172673e-02       1.434042065239e+07       1.429779440883e+07      -2.281732855835e+03      -2.316583766961e+03       8.260647236159e+06       4.183689459813e+06       1.430100180539e+07 
       1.370004446208e-02       1.428834026056e+07       1.424552441253e+07      -2.231291670055e+03      -2.265370986226e+03       8.189494291577e+06       4.168422271172e+06       1.424881431944e+07 
       1.382783358933e-02       1.423640219368e+07       1.419339611396e+07      -2.182326435447e+03      -2.215656752898e+03       8.119018484844e+06       4.153197427120e+06       1.419677153661e+07 
       1.395565925079e-02       1.418459534479e+07       1.414139813228e+07      -2.134780636702e+03      -2.167383684320e+03       8.049193872814e+06       4.138011617878e+06       1.414486223811e+07 
       1.408352161121e-02       1.413293898859e+07       1.408955081929e+07      -2.088604802158e+03      -2.120501550657e+03       7.980012388287e+06       4.122870486655e+06       1.409310574128e+07 
       1.421142085752e-02       1.408141790162e+07       1.403783815250e+07      -2.043746465642e+03      -2.074957083225e+03       7.911446823482e+06       4.107769547216e+06       1.404148663930e+07 
       1.433935719849e-02       1.403002908418e+07       1.398625694890e+07      -2.000157317063e+03      -2.030701233025e+03       7.843477743650e+06       4.092707913829e+06       1.399000182588e+07 
       1.446733086447e-02       1.397878005993e+07       1.393481557754e+07      -1.957792784665e+03      -1.987688745176e+03       7.776092437300e+06       4.077687796299e+06       1.393865886586e+07 
