# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       9.438283107208e-03       1.553055192988e+07       1.542498524469e+07      -4.647963754584e+03      -4.727907400835e+03       1.063914619998e+07       4.670558365323e+06 
       9.564145138157e-03       1.547414191070e+07       1.536872742221e+07      -4.510995380727e+03      -4.588564887403e+03       1.054680524835e+07       4.653381896790e+06 
       9.690055829598e-03       1.541790831814e+07       1.531262408835e+07      -4.379178993434e+03      -4.454469861334e+03       1.045505383741e+07       4.636296145853e+06 
       9.816014059543e-03       1.536184097189e+07       1.525667371871e+07      -4.252182085598e+03      -4.325284949847e+03       1.036389024482e+07       4.619315031879e+06 
       9.942018778623e-03       1.530593129605e+07       1.520087759592e+07      -4.129780759942e+03      -4.200781711330e+03       1.027331758774e+07       4.602441263131e+06 
       1.006806900614e-02       1.525016926721e+07       1.514523511382e+07      -4.011838919057e+03      -4.080819766701e+03       1.018334082493e+07       4.585665019182e+06 
       1.019416382642e-02       1.519454809746e+07       1.508974652677e+07      -3.898282827360e+03      -3.965321351034e+03       1.009396841561e+07       4.568966946814e+06 
       1.032030238541e-02       1.513906194179e+07       1.503440883702e+07      -3.789058891764e+03      -3.854229050561e+03       1.000520951939e+07       4.552321687602e+06 
       1.044648388756e-02       1.508371803406e+07       1.497922932941e+07      -3.684106332952e+03      -3.747478516358e+03       9.917082276101e+06       4.535706484850e+06 
       1.057270759288e-02       1.502851787011e+07       1.492420460619e+07      -3.583322158316e+03      -3.644963338592e+03       9.829600110116e+06       4.519100578334e+06 
       1.069897281422e-02       1.497346944641e+07       1.486933579555e+07      -3.486552171267e+03      -3.546526112229e+03       9.742780955212e+06       4.502493079050e+06 
       1.082527891478e-02       1.491857988930e+07       1.481462226235e+07      -3.393587069933e+03      -3.451954503790e+03       9.656642832447e+06       4.485883242997e+06 
       1.095162530572e-02       1.486385420757e+07       1.476006169864e+07      -3.304175389714e+03      -3.360994189456e+03       9.571203305071e+06       4.469280009085e+06 
       1.107801144403e-02       1.480930093226e+07       1.470565778183e+07      -3.218045718313e+03      -3.273371091858e+03       9.486483834359e+06       4.452701913916e+06 
       1.120443683048e-02       1.475491752284e+07       1.465140613296e+07      -3.134929172701e+03      -3.188813796205e+03       9.402500431356e+06       4.436169086411e+06 
       1.133090100772e-02       1.470071152285e+07       1.459731565292e+07      -3.054586497020e+03      -3.107080713314e+03       9.319276343378e+06       4.419705087545e+06 
       1.145740355854e-02       1.464666645333e+07       1.454337351409e+07      -2.976820796932e+03      -3.027972679777e+03       9.236820161369e+06       4.403322336002e+06 
       1.158394410423e-02       1.459278280829e+07       1.448958626341e+07      -2.901493329604e+03      -2.951348877165e+03       9.155150548312e+06       4.387031123833e+06 
       1.171052230309e-02       1.453905525307e+07       1.443595453811e+07      -2.828517297974e+03      -2.877120524879e+03       9.074280315383e+06       4.370830948643e+06 
       1.183713784897e-02       1.448547224084e+07       1.438247263527e+07      -2.757849769476e+03      -2.805242788337e+03       8.994216178885e+06       4.354710539701e+06 
       1.196379046998e-02       1.443203509567e+07       1.432914509681e+07      -2.689474080138e+03      -2.735697225804e+03       8.914968199033e+06       4.338655649374e+06 
       1.209047992726e-02       1.437874088200e+07       1.427597015395e+07      -2.623380789270e+03      -2.668472683367e+03       8.836539995844e+06       4.322647116740e+06 
       1.221720601386e-02       1.432559208624e+07       1.422294885946e+07      -2.559549258232e+03      -2.603546897246e+03       8.758933873476e+06       4.306667729563e+06 
       1.234396855364e-02       1.427258720991e+07       1.417007615784e+07      -2.497933233246e+03      -2.540872046792e+03       8.682145818766e+06       4.290703027532e+06 
       1.247076740036e-02       1.421973572308e+07       1.411735675042e+07      -2.438457379140e+03      -2.480371335065e+03       8.606174733392e+06       4.274748403029e+06 
       1.259760243668e-02       1.416704417510e+07       1.406479248338e+07      -2.381015094804e+03      -2.421936763349e+03       8.531015241628e+06       4.258806380012e+06 
       1.272447357339e-02       1.411450683707e+07       1.401237281709e+07      -2.325475522994e+03      -2.365436115804e+03       8.456652293494e+06       4.242883087909e+06 
       1.285138074858e-02       1.406213452899e+07       1.396010690915e+07      -2.271701781869e+03      -2.310731278074e+03       8.383080260287e+06       4.226995204210e+06 
       1.297832392693e-02       1.400992627274e+07       1.390799279814e+07      -2.219558316852e+03      -2.257685499317e+03       8.310285078954e+06       4.211158283087e+06 
       1.310530309904e-02       1.395787854394e+07       1.385602871968e+07      -2.168927371914e+03      -2.206179891753e+03       8.238251261357e+06       4.195386300159e+06 
       1.323231828083e-02       1.390598647267e+07       1.380421292325e+07      -2.119716734782e+03      -2.156121169244e+03       8.166962007422e+06       4.179688896213e+06 
       1.335936951293e-02       1.385424907276e+07       1.375254835041e+07      -2.071865147339e+03      -2.107447065386e+03       8.096402331200e+06       4.164070810583e+06 
       1.348645686017e-02       1.380266008850e+07       1.370103305766e+07      -2.025338492609e+03      -2.060122489122e+03       8.026553708490e+06       4.148528509491e+06 
       1.361358041112e-02       1.375121726925e+07       1.364966772796e+07      -1.980124010109e+03      -2.014133755335e+03       7.957398692731e+06       4.133053409781e+06 
       1.374074027764e-02       1.369991773228e+07       1.359845142782e+07      -1.936220507689e+03      -1.969478782243e+03       7.888918765208e+06       4.117632481891e+06 
       1.386793659447e-02       1.364876120448e+07       1.354738398742e+07      -1.893626920147e+03      -1.926155653043e+03       7.821095865647e+06       4.102251915030e+06 
       1.399516951886e-02       1.359774781285e+07       1.349646389362e+07      -1.852332608176e+03      -1.884152908364e+03       7.753911381754e+06       4.086899297772e+06 
       1.412243923027e-02       1.354688238918e+07       1.344569347665e+07      -1.812312029400e+03      -1.843444229391e+03       7.687349342636e+06       4.071567468288e+06 
       1.424974593005e-02       1.349616325509e+07       1.339506782683e+07      -1.773520225578e+03      -1.803983898492e+03       7.621390066132e+06       4.056252668021e+06 
       1.437708984119e-02       1.344559502468e+07       1.334458813312e+07      -1.735895985837e+03      -1.765709993048e+03       7.556017891934e+06       4.040958850279e+06 
       1.450447120808e-02       1.339518007273e+07       1.329425482591e+07      -1.699367536597e+03      -1.728550060024e+03       7.491217414422e+06       4.025694416439e+06 
       1.452621956927e-02       1.338658756352e+07       1.328567533243e+07      -1.693235674842e+03      -1.722312166230e+03       7.480210614789e+06       4.023091855697e+06 
       1.463189029631e-02       1.334491776980e+07       1.324406571661e+07      -1.663858451809e+03      -1.692427020328e+03       7.426972351658e+06       4.010469984262e+06 
       1.475934739251e-02       1.329481012132e+07       1.319402330705e+07      -1.629297822871e+03      -1.657269353821e+03       7.363269693421e+06       3.995297876205e+06 
