# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  104       2.620111152944e+03       7.664654437025e-01       3.169789004577e-03      -2.382056817287e+01       1.010646972168e-07       4.114033902600e-04      -2.458216955166e-06 
  105       2.649676182917e+03       7.793298013343e-01       3.231903537135e-03      -2.442909371180e+01       1.004344008434e-07       4.069613218271e-04      -2.416896637994e-06 
  106       2.679403056527e+03       7.920019243021e-01       3.294706871960e-03      -2.503598735395e+01       9.980396179321e-08       4.025802445815e-04      -2.370006979540e-06 
  107       2.709290101055e+03       8.044691273730e-01       3.358202645359e-03      -2.564073297293e+01       9.917635283311e-08       3.982672310908e-04      -2.318324253676e-06 
  108       2.739334849710e+03       8.167186814392e-01       3.422394515180e-03      -2.624280700755e+01       9.855402393758e-08       3.940276336453e-04      -2.262732158965e-06 
  109       2.769534011605e+03       8.287378188989e-01       3.487286159734e-03      -2.684167857694e+01       9.793882659366e-08       3.898649430687e-04      -2.204226968762e-06 
  110       2.799883441745e+03       8.405137390368e-01       3.552881276727e-03      -2.743680959557e+01       9.733193436021e-08       3.857806442194e-04      -2.143922776668e-06 
  111       2.830378111003e+03       8.520336134051e-01       3.619183582181e-03      -2.802765488839e+01       9.673375961110e-08       3.817740681826e-04      -2.083056837359e-06 
  112       2.861012076102e+03       8.632845912040e-01       3.686196809365e-03      -2.861366230583e+01       9.614386639150e-08       3.778422411515e-04      -2.022995002771e-06 
  113       2.891778449598e+03       8.742538046624e-01       3.753924707723e-03      -2.919427283893e+01       9.556087931643e-08       3.739797299997e-04      -1.965237253646e-06 
  114       2.922669369859e+03       8.849283744189e-01       3.822371041795e-03      -2.976892073437e+01       9.498238844085e-08       3.701784845429e-04      -1.911423326445e-06 
  115       2.953675971047e+03       8.952954149023e-01       3.891539590149e-03      -3.033703360955e+01       9.440485003046e-08       3.664276764914e-04      -1.863338435625e-06 
  116       2.984789589625e+03       9.053425454052e-01       3.961434216489e-03      -3.089804910566e+01       9.382488771651e-08       3.627174577147e-04      -1.822542579805e-06 
  117       3.016005614469e+03       9.150594822947e-01       4.032059095075e-03      -3.145146689772e+01       9.324378932105e-08       3.590513755056e-04      -1.789168686622e-06 
  118       3.047320050668e+03       9.244366513900e-01       4.103418510822e-03      -3.199680325350e+01       9.266389925865e-08       3.554359073245e-04      -1.762916713673e-06 
  119       3.078728305998e+03       9.334647093352e-01       4.175516789139e-03      -3.253357531979e+01       9.208726874001e-08       3.518766683051e-04      -1.743407044623e-06 
  120       3.110225171842e+03       9.421345534515e-01       4.248358295498e-03      -3.306130138368e+01       9.151561469329e-08       3.483783412792e-04      -1.730176358247e-06 
  121       3.141804804098e+03       9.504373315892e-01       4.321947434993e-03      -3.357950113390e+01       9.095027681335e-08       3.449446052779e-04      -1.722673421393e-06 
  122       3.173460704099e+03       9.583644519793e-01       4.396288651910e-03      -3.408769592209e+01       9.039217270629e-08       3.415780625097e-04      -1.720254805854e-06 
  123       3.205185699523e+03       9.659075930857e-01       4.471386429289e-03      -3.458540902408e+01       8.984175109722e-08       3.382801638149e-04      -1.722180529140e-06 
